id,text,option_a,option_b,option_c,option_d,correct,source,topic,type
41,"According to the ASME A17.1 table of contents, which section would you open first to locate requirements for tests?",General requirements for tests,tests section for car and counterweight safeties,Machine rooms and spaces,Maintenance control program,C,ASME A17.1,table of contents navigation,toc_navigation
42,"A question asks about alterations. Using the ASME A17.1 table of contents, what is the best first move?",Machine rooms and spaces,Maintenance control program,General requirements for alterations,alterations section for car and counterweight safeties,A,ASME A17.1,table of contents navigation,toc_navigation
43,"If you had to find rules for temporary personnel hoists in ASME A17.1, where should you begin?",temporary personnel hoists section for car and counterweight safeties,Machine rooms and spaces,General requirements for temporary personnel hoists,Maintenance control program,B,ASME A17.1,table of contents navigation,toc_navigation
44,Which table-of-contents entry in ASME A17.1 would be the most likely starting point for construction barricades?,"construction barricades section for hoistways, pits, and related construction",Machine rooms and spaces,Maintenance control program,General requirements for construction barricades,B,ASME A17.1,table of contents navigation,toc_navigation
45,"According to the ASME A17.1 table of contents, which section would you open first to locate requirements for wiring methods?",wiring methods section for car and counterweight safeties,Maintenance control program,General requirements for wiring methods,Machine rooms and spaces,D,ASME A17.1,table of contents navigation,toc_navigation
46,"A question asks about machine-room ventilation. Using the ASME A17.1 table of contents, what is the best first move?",Machine rooms and spaces,General requirements for machine-room ventilation,Maintenance control program,machine-room ventilation section for car and counterweight safeties,A,ASME A17.1,table of contents navigation,toc_navigation
47,"If you had to find rules for access doors in ASME A17.1, where should you begin?",Maintenance control program,General requirements for access doors,Machine rooms and spaces,"access doors section for hoistways, pits, and related construction",C,ASME A17.1,table of contents navigation,toc_navigation
48,Which table-of-contents entry in ASME A17.1 would be the most likely starting point for clear floor space?,Maintenance control program,Machine rooms and spaces,General requirements for clear floor space,"clear floor space section for hoistways, pits, and related construction",B,ASME A17.1,table of contents navigation,toc_navigation
49,"According to the ASME A17.1 table of contents, which section would you open first to locate requirements for hall stations?",General requirements for hall stations,hall stations section for car and counterweight safeties,Machine rooms and spaces,Maintenance control program,C,ASME A17.1,table of contents navigation,toc_navigation
50,"A question asks about elevator lobby protection. Using the ASME A17.1 table of contents, what is the best first move?",General requirements for elevator lobby protection,"elevator lobby protection section for hoistways, pits, and related construction",Maintenance control program,Machine rooms and spaces,D,ASME A17.1,table of contents navigation,toc_navigation
51,"If you had to find rules for overcurrent protection in ASME A17.1, where should you begin?",Machine rooms and spaces,General requirements for overcurrent protection,overcurrent protection section for car and counterweight safeties,Maintenance control program,A,ASME A17.1,table of contents navigation,toc_navigation
52,Which table-of-contents entry in ASME A17.1 would be the most likely starting point for machinery spaces?,Machine rooms and spaces,General requirements for machinery spaces,machinery spaces section for car and counterweight safeties,Maintenance control program,A,ASME A17.1,table of contents navigation,toc_navigation
53,"According to the ASME A17.1 table of contents, which section would you open first to locate requirements for hoistways?",General requirements for hoistways,Machine rooms and spaces,"hoistways section for hoistways, pits, and related construction",Maintenance control program,B,ASME A17.1,table of contents navigation,toc_navigation
54,"A question asks about buffers. Using the ASME A17.1 table of contents, what is the best first move?",Machine rooms and spaces,"buffers section for hoistways, pits, and related construction",General requirements for buffers,Maintenance control program,A,ASME A17.1,table of contents navigation,toc_navigation
55,"If you had to find rules for door reopening devices in ASME A17.1, where should you begin?","door reopening devices section for hoistways, pits, and related construction",Maintenance control program,General requirements for door reopening devices,Machine rooms and spaces,D,ASME A17.1,table of contents navigation,toc_navigation
56,Which table-of-contents entry in ASME A17.1 would be the most likely starting point for standby power?,"standby power section for hoistways, pits, and related construction",Machine rooms and spaces,Maintenance control program,General requirements for standby power,B,ASME A17.1,table of contents navigation,toc_navigation
57,"According to the ASME A17.1 table of contents, which section would you open first to locate requirements for controller access?","controller access section for hoistways, pits, and related construction",Maintenance control program,Machine rooms and spaces,General requirements for controller access,C,ASME A17.1,table of contents navigation,toc_navigation
58,"A question asks about top-of-car clearances. Using the ASME A17.1 table of contents, what is the best first move?",Machine rooms and spaces,top-of-car clearances section for car and counterweight safeties,General requirements for top-of-car clearances,Maintenance control program,A,ASME A17.1,table of contents navigation,toc_navigation
59,"If you had to find rules for escalator skirt panels in ASME A17.1, where should you begin?",General requirements for escalator skirt panels,escalator skirt panels section for car and counterweight safeties,Machine rooms and spaces,Maintenance control program,C,ASME A17.1,table of contents navigation,toc_navigation
60,Which table-of-contents entry in ASME A17.1 would be the most likely starting point for combplates?,Maintenance control program,combplates section for car and counterweight safeties,Machine rooms and spaces,General requirements for combplates,C,ASME A17.1,table of contents navigation,toc_navigation
61,"According to the ASME A17.1 table of contents, which section would you open first to locate requirements for moving walks?",Machine rooms and spaces,Maintenance control program,General requirements for moving walks,"moving walks section for hoistways, pits, and related construction",A,ASME A17.1,table of contents navigation,toc_navigation
62,"A question asks about wheelchair turning space. Using the ASME A17.1 table of contents, what is the best first move?",wheelchair turning space section for car and counterweight safeties,Machine rooms and spaces,Maintenance control program,General requirements for wheelchair turning space,B,ASME A17.1,table of contents navigation,toc_navigation
63,"If you had to find rules for governors in ASME A17.1, where should you begin?",General requirements for governors,Machine rooms and spaces,Maintenance control program,governors section for car and counterweight safeties,B,ASME A17.1,table of contents navigation,toc_navigation
64,Which table-of-contents entry in ASME A17.1 would be the most likely starting point for counterweights?,Maintenance control program,Machine rooms and spaces,"counterweights section for hoistways, pits, and related construction",General requirements for counterweights,B,ASME A17.1,table of contents navigation,toc_navigation
65,"According to the ASME A17.1 table of contents, which section would you open first to locate requirements for emergency operations?",General requirements for emergency operations,"emergency operations section for hoistways, pits, and related construction",Machine rooms and spaces,Maintenance control program,C,ASME A17.1,table of contents navigation,toc_navigation
66,"A question asks about inspections. Using the ASME A17.1 table of contents, what is the best first move?",inspections section for car and counterweight safeties,General requirements for inspections,Maintenance control program,Machine rooms and spaces,D,ASME A17.1,table of contents navigation,toc_navigation
67,"If you had to find rules for acceptance inspections in ASME A17.1, where should you begin?",Machine rooms and spaces,General requirements for acceptance inspections,acceptance inspections section for car and counterweight safeties,Maintenance control program,A,ASME A17.1,table of contents navigation,toc_navigation
68,Which table-of-contents entry in ASME A17.1 would be the most likely starting point for existing installations?,Machine rooms and spaces,General requirements for existing installations,"existing installations section for hoistways, pits, and related construction",Maintenance control program,A,ASME A17.1,table of contents navigation,toc_navigation
69,"According to the ASME A17.1 table of contents, which section would you open first to locate requirements for conveyor guarding?",Maintenance control program,Machine rooms and spaces,"conveyor guarding section for hoistways, pits, and related construction",General requirements for conveyor guarding,B,ASME A17.1,table of contents navigation,toc_navigation
70,"A question asks about demolition protection. Using the ASME A17.1 table of contents, what is the best first move?",Machine rooms and spaces,Maintenance control program,General requirements for demolition protection,demolition protection section for car and counterweight safeties,A,ASME A17.1,table of contents navigation,toc_navigation
71,"If you had to find rules for grounding in ASME A17.1, where should you begin?",Maintenance control program,"grounding section for hoistways, pits, and related construction",General requirements for grounding,Machine rooms and spaces,D,ASME A17.1,table of contents navigation,toc_navigation
72,Which table-of-contents entry in ASME A17.1 would be the most likely starting point for lighting?,lighting section for car and counterweight safeties,Maintenance control program,General requirements for lighting,Machine rooms and spaces,D,ASME A17.1,table of contents navigation,toc_navigation
73,"According to the ASME A17.1 table of contents, which section would you open first to locate requirements for pit ladders?",Maintenance control program,Machine rooms and spaces,General requirements for pit ladders,pit ladders section for car and counterweight safeties,B,ASME A17.1,table of contents navigation,toc_navigation
74,"A question asks about car operating panels. Using the ASME A17.1 table of contents, what is the best first move?",Machine rooms and spaces,General requirements for car operating panels,car operating panels section for car and counterweight safeties,Maintenance control program,A,ASME A17.1,table of contents navigation,toc_navigation
75,"If you had to find rules for accessibility dimensions in ASME A17.1, where should you begin?",Machine rooms and spaces,Maintenance control program,accessibility dimensions section for car and counterweight safeties,General requirements for accessibility dimensions,A,ASME A17.1,table of contents navigation,toc_navigation
76,Which table-of-contents entry in ASME A17.1 would be the most likely starting point for shunt trip?,Machine rooms and spaces,shunt trip section for car and counterweight safeties,Maintenance control program,General requirements for shunt trip,A,ASME A17.1,table of contents navigation,toc_navigation
77,"According to the ASME A17.1 table of contents, which section would you open first to locate requirements for machine rooms?",General requirements for machine rooms,Machine rooms and spaces,Maintenance control program,machine rooms section for car and counterweight safeties,B,ASME A17.1,table of contents navigation,toc_navigation
78,"A question asks about control spaces. Using the ASME A17.1 table of contents, what is the best first move?",Maintenance control program,General requirements for control spaces,Machine rooms and spaces,control spaces section for car and counterweight safeties,C,ASME A17.1,table of contents navigation,toc_navigation
79,"If you had to find rules for pits in ASME A17.1, where should you begin?",General requirements for pits,Maintenance control program,Machine rooms and spaces,"pits section for hoistways, pits, and related construction",C,ASME A17.1,table of contents navigation,toc_navigation
80,Which table-of-contents entry in ASME A17.1 would be the most likely starting point for car enclosures?,Machine rooms and spaces,"car enclosures section for hoistways, pits, and related construction",Maintenance control program,General requirements for car enclosures,A,ASME A17.1,table of contents navigation,toc_navigation
81,"According to the ASME A17.1 table of contents, which section would you open first to locate requirements for fire service?",fire service section for car and counterweight safeties,Maintenance control program,Machine rooms and spaces,General requirements for fire service,C,ASME A17.1,table of contents navigation,toc_navigation
82,"A question asks about electrical disconnects. Using the ASME A17.1 table of contents, what is the best first move?","electrical disconnects section for hoistways, pits, and related construction",Maintenance control program,General requirements for electrical disconnects,Machine rooms and spaces,D,ASME A17.1,table of contents navigation,toc_navigation
83,"If you had to find rules for working clearances in ASME A17.1, where should you begin?",working clearances section for car and counterweight safeties,General requirements for working clearances,Maintenance control program,Machine rooms and spaces,D,ASME A17.1,table of contents navigation,toc_navigation
84,Which table-of-contents entry in ASME A17.1 would be the most likely starting point for refuge spaces?,Machine rooms and spaces,refuge spaces section for car and counterweight safeties,General requirements for refuge spaces,Maintenance control program,A,ASME A17.1,table of contents navigation,toc_navigation
85,"According to the ASME A17.1 table of contents, which section would you open first to locate requirements for handrails?","handrails section for hoistways, pits, and related construction",Maintenance control program,General requirements for handrails,Machine rooms and spaces,D,ASME A17.1,table of contents navigation,toc_navigation
86,"A question asks about step demarcation. Using the ASME A17.1 table of contents, what is the best first move?",step demarcation section for car and counterweight safeties,Maintenance control program,Machine rooms and spaces,General requirements for step demarcation,C,ASME A17.1,table of contents navigation,toc_navigation
87,"If you had to find rules for platform lift landings in ASME A17.1, where should you begin?",platform lift landings section for car and counterweight safeties,Maintenance control program,General requirements for platform lift landings,Machine rooms and spaces,D,ASME A17.1,table of contents navigation,toc_navigation
88,Which table-of-contents entry in ASME A17.1 would be the most likely starting point for door locking devices?,Maintenance control program,"door locking devices section for hoistways, pits, and related construction",General requirements for door locking devices,Machine rooms and spaces,D,ASME A17.1,table of contents navigation,toc_navigation
89,"According to the ASME A17.1 table of contents, which section would you open first to locate requirements for safeties?",General requirements for safeties,safeties section for car and counterweight safeties,Machine rooms and spaces,Maintenance control program,C,ASME A17.1,table of contents navigation,toc_navigation
90,"A question asks about signage. Using the ASME A17.1 table of contents, what is the best first move?",Machine rooms and spaces,General requirements for signage,Maintenance control program,signage section for car and counterweight safeties,A,ASME A17.1,table of contents navigation,toc_navigation
91,"If you had to find rules for maintenance records in ASME A17.1, where should you begin?",maintenance records section for car and counterweight safeties,Maintenance control program,Machine rooms and spaces,General requirements for maintenance records,C,ASME A17.1,table of contents navigation,toc_navigation
92,Which table-of-contents entry in ASME A17.1 would be the most likely starting point for tests?,"tests section for hoistways, pits, and related construction",Machine rooms and spaces,Maintenance control program,General requirements for tests,B,ASME A17.1,table of contents navigation,toc_navigation
93,"According to the ASME A17.1 table of contents, which section would you open first to locate requirements for alterations?",alterations section for car and counterweight safeties,General requirements for alterations,Maintenance control program,Machine rooms and spaces,D,ASME A17.1,table of contents navigation,toc_navigation
94,"A question asks about temporary personnel hoists. Using the ASME A17.1 table of contents, what is the best first move?",Machine rooms and spaces,General requirements for temporary personnel hoists,Maintenance control program,"temporary personnel hoists section for hoistways, pits, and related construction",A,ASME A17.1,table of contents navigation,toc_navigation
95,"If you had to find rules for construction barricades in ASME A17.1, where should you begin?",General requirements for construction barricades,"construction barricades section for hoistways, pits, and related construction",Machine rooms and spaces,Maintenance control program,C,ASME A17.1,table of contents navigation,toc_navigation
96,Which table-of-contents entry in ASME A17.1 would be the most likely starting point for wiring methods?,Maintenance control program,"wiring methods section for hoistways, pits, and related construction",Machine rooms and spaces,General requirements for wiring methods,C,ASME A17.1,table of contents navigation,toc_navigation
97,"According to the ASME A17.1 table of contents, which section would you open first to locate requirements for machine-room ventilation?",machine-room ventilation section for car and counterweight safeties,Machine rooms and spaces,General requirements for machine-room ventilation,Maintenance control program,B,ASME A17.1,table of contents navigation,toc_navigation
98,"A question asks about access doors. Using the ASME A17.1 table of contents, what is the best first move?",General requirements for access doors,"access doors section for hoistways, pits, and related construction",Maintenance control program,Machine rooms and spaces,D,ASME A17.1,table of contents navigation,toc_navigation
99,"If you had to find rules for clear floor space in ASME A17.1, where should you begin?",General requirements for clear floor space,"clear floor space section for hoistways, pits, and related construction",Machine rooms and spaces,Maintenance control program,C,ASME A17.1,table of contents navigation,toc_navigation
100,Which table-of-contents entry in ASME A17.1 would be the most likely starting point for hall stations?,"hall stations section for hoistways, pits, and related construction",General requirements for hall stations,Machine rooms and spaces,Maintenance control program,C,ASME A17.1,table of contents navigation,toc_navigation
101,"According to the ASME A17.1 table of contents, which section would you open first to locate requirements for elevator lobby protection?","elevator lobby protection section for hoistways, pits, and related construction",Maintenance control program,General requirements for elevator lobby protection,Machine rooms and spaces,D,ASME A17.1,table of contents navigation,toc_navigation
102,"A question asks about overcurrent protection. Using the ASME A17.1 table of contents, what is the best first move?","overcurrent protection section for hoistways, pits, and related construction",General requirements for overcurrent protection,Machine rooms and spaces,Maintenance control program,C,ASME A17.1,table of contents navigation,toc_navigation
103,"If you had to find rules for machinery spaces in ASME A17.1, where should you begin?",Machine rooms and spaces,General requirements for machinery spaces,machinery spaces section for car and counterweight safeties,Maintenance control program,A,ASME A17.1,table of contents navigation,toc_navigation
104,Which table-of-contents entry in ASME A17.1 would be the most likely starting point for hoistways?,Maintenance control program,General requirements for hoistways,Machine rooms and spaces,hoistways section for car and counterweight safeties,C,ASME A17.1,table of contents navigation,toc_navigation
105,"According to the ASME A17.1 table of contents, which section would you open first to locate requirements for buffers?",Machine rooms and spaces,General requirements for buffers,Maintenance control program,buffers section for car and counterweight safeties,A,ASME A17.1,table of contents navigation,toc_navigation
106,"A question asks about door reopening devices. Using the ASME A17.1 table of contents, what is the best first move?",General requirements for door reopening devices,Machine rooms and spaces,door reopening devices section for car and counterweight safeties,Maintenance control program,B,ASME A17.1,table of contents navigation,toc_navigation
107,"If you had to find rules for standby power in ASME A17.1, where should you begin?",Machine rooms and spaces,"standby power section for hoistways, pits, and related construction",General requirements for standby power,Maintenance control program,A,ASME A17.1,table of contents navigation,toc_navigation
108,Which table-of-contents entry in ASME A17.1 would be the most likely starting point for controller access?,Maintenance control program,Machine rooms and spaces,controller access section for car and counterweight safeties,General requirements for controller access,B,ASME A17.1,table of contents navigation,toc_navigation
109,"According to the ASME A17.1 table of contents, which section would you open first to locate requirements for top-of-car clearances?",top-of-car clearances section for car and counterweight safeties,Machine rooms and spaces,Maintenance control program,General requirements for top-of-car clearances,B,ASME A17.1,table of contents navigation,toc_navigation
110,"A question asks about escalator skirt panels. Using the ASME A17.1 table of contents, what is the best first move?",General requirements for escalator skirt panels,Machine rooms and spaces,"escalator skirt panels section for hoistways, pits, and related construction",Maintenance control program,B,ASME A17.1,table of contents navigation,toc_navigation
111,"If you had to find rules for combplates in ASME A17.1, where should you begin?",Maintenance control program,Machine rooms and spaces,combplates section for car and counterweight safeties,General requirements for combplates,B,ASME A17.1,table of contents navigation,toc_navigation
112,Which table-of-contents entry in ASME A17.1 would be the most likely starting point for moving walks?,moving walks section for car and counterweight safeties,Maintenance control program,Machine rooms and spaces,General requirements for moving walks,C,ASME A17.1,table of contents navigation,toc_navigation
113,"According to the ASME A17.1 table of contents, which section would you open first to locate requirements for wheelchair turning space?","wheelchair turning space section for hoistways, pits, and related construction",Machine rooms and spaces,Maintenance control program,General requirements for wheelchair turning space,B,ASME A17.1,table of contents navigation,toc_navigation
114,"A question asks about governors. Using the ASME A17.1 table of contents, what is the best first move?",Machine rooms and spaces,"governors section for hoistways, pits, and related construction",Maintenance control program,General requirements for governors,A,ASME A17.1,table of contents navigation,toc_navigation
115,"If you had to find rules for counterweights in ASME A17.1, where should you begin?",General requirements for counterweights,Machine rooms and spaces,"counterweights section for hoistways, pits, and related construction",Maintenance control program,B,ASME A17.1,table of contents navigation,toc_navigation
116,Which table-of-contents entry in ASME A17.1 would be the most likely starting point for emergency operations?,"emergency operations section for hoistways, pits, and related construction",General requirements for emergency operations,Machine rooms and spaces,Maintenance control program,C,ASME A17.1,table of contents navigation,toc_navigation
117,"According to the ASME A17.1 table of contents, which section would you open first to locate requirements for inspections?",General requirements for inspections,"inspections section for hoistways, pits, and related construction",Machine rooms and spaces,Maintenance control program,C,ASME A17.1,table of contents navigation,toc_navigation
118,"A question asks about acceptance inspections. Using the ASME A17.1 table of contents, what is the best first move?",acceptance inspections section for car and counterweight safeties,Maintenance control program,Machine rooms and spaces,General requirements for acceptance inspections,C,ASME A17.1,table of contents navigation,toc_navigation
119,"If you had to find rules for existing installations in ASME A17.1, where should you begin?","existing installations section for hoistways, pits, and related construction",General requirements for existing installations,Machine rooms and spaces,Maintenance control program,C,ASME A17.1,table of contents navigation,toc_navigation
120,Which table-of-contents entry in ASME A17.1 would be the most likely starting point for conveyor guarding?,Machine rooms and spaces,conveyor guarding section for car and counterweight safeties,General requirements for conveyor guarding,Maintenance control program,A,ASME A17.1,table of contents navigation,toc_navigation
121,"According to the ASME A17.1 table of contents, which section would you open first to locate requirements for demolition protection?",General requirements for demolition protection,Maintenance control program,demolition protection section for car and counterweight safeties,Machine rooms and spaces,D,ASME A17.1,table of contents navigation,toc_navigation
122,"A question asks about grounding. Using the ASME A17.1 table of contents, what is the best first move?",Machine rooms and spaces,General requirements for grounding,grounding section for car and counterweight safeties,Maintenance control program,A,ASME A17.1,table of contents navigation,toc_navigation
123,"If you had to find rules for lighting in ASME A17.1, where should you begin?",General requirements for lighting,Maintenance control program,Machine rooms and spaces,lighting section for car and counterweight safeties,C,ASME A17.1,table of contents navigation,toc_navigation
124,Which table-of-contents entry in ASME A17.1 would be the most likely starting point for pit ladders?,Machine rooms and spaces,pit ladders section for car and counterweight safeties,Maintenance control program,General requirements for pit ladders,A,ASME A17.1,table of contents navigation,toc_navigation
125,"According to the ASME A17.1 table of contents, which section would you open first to locate requirements for car operating panels?",Maintenance control program,"car operating panels section for hoistways, pits, and related construction",Machine rooms and spaces,General requirements for car operating panels,C,ASME A17.1,table of contents navigation,toc_navigation
126,"A question asks about accessibility dimensions. Using the ASME A17.1 table of contents, what is the best first move?",General requirements for accessibility dimensions,Machine rooms and spaces,Maintenance control program,accessibility dimensions section for car and counterweight safeties,B,ASME A17.1,table of contents navigation,toc_navigation
